,country,H,H1,H12,H123,H1_2
910,CAF (An. coluzzii),0.6666666666666665,0.35185185185185197,0.3842592592592593,0.41820987654320996,0.0328947368421054
911,CAF (An. coluzzii),0.8873015873015873,0.1373456790123457,0.22222222222222224,0.3209876543209877,0.32022471910112366
912,CAF (An. coluzzii),0.8984126984126983,0.12654320987654324,0.19444444444444448,0.2638888888888889,0.26219512195121963
913,CAF (An. coluzzii),0.915873015873016,0.10956790123456792,0.17901234567901236,0.2654320987654321,0.4295774647887325
914,CAF (An. coluzzii),0.9936507936507937,0.033950617283950615,0.043209876543209874,0.05092592592592593,0.7954545454545454
915,CAF (An. coluzzii),0.9952380952380951,0.03240740740740741,0.038580246913580245,0.05092592592592592,0.9047619047619048
916,CAF (An. coluzzii),0.9841269841269841,0.04320987654320989,0.05709876543209876,0.07561728395061729,0.8392857142857143
917,CAF (An. coluzzii),0.9873015873015873,0.04012345679012347,0.04938271604938271,0.06481481481481481,0.8269230769230769
918,CAF (An. coluzzii),0.9888888888888888,0.038580246913580266,0.04783950617283951,0.06327160493827161,0.8200000000000001
919,CAF (An. coluzzii),0.892063492063492,0.13271604938271608,0.24074074074074073,0.2932098765432099,0.4186046511627908
920,CAF (An. coluzzii),0.9,0.125,0.2175925925925926,0.26697530864197533,0.382716049382716
921,CAF (An. coluzzii),0.7523809523809523,0.26851851851851855,0.3518518518518519,0.3842592592592593,0.0689655172413794
922,CAF (An. coluzzii),0.7222222222222221,0.29783950617283955,0.3858024691358025,0.4537037037037038,0.06476683937823843
923,CAF (An. coluzzii),0.7777777777777778,0.24382716049382716,0.3225308641975309,0.3842592592592593,0.08544303797468358
924,CAF (An. coluzzii),0.8,0.22222222222222224,0.29629629629629634,0.35493827160493835,0.11111111111111122
925,CAF (An. coluzzii),0.7523809523809523,0.26851851851851855,0.3518518518518519,0.3842592592592593,0.0689655172413794
926,CAF (An. coluzzii),0.6650793650793649,0.3533950617283952,0.41820987654320996,0.4537037037037038,0.03711790393013115
927,CAF (An. coluzzii),0.7253968253968253,0.2947530864197532,0.35339506172839513,0.41820987654320996,0.05497382198952902
