,pops,pi,tajimaD,watt_theta
3112,GMB (An. coluzzii),0.007562691414856557,-2.0781442101473857,0.025629879524544076
3113,GMB (An. coluzzii),0.009910482141149302,-2.1454430362667174,0.03500666471645045
3114,GMB (An. coluzzii),0.014666121540114813,-1.7269448032934664,0.03469410521005357
3115,GMB (An. coluzzii),0.010921127590729494,-2.172875229895082,0.03938249780600675
3116,GMB (An. coluzzii),0.012276658494695955,-2.0446621798954894,0.03844481928681611
3117,GMB (An. coluzzii),0.009546328093851319,-2.1846028505549597,0.03531922422284733
3118,GMB (An. coluzzii),0.006237622106878613,-2.2790444741517146,0.02719267705652847
3119,GMB (An. coluzzii),0.011713293954711308,-1.9716216127189774,0.03438154570365668
3120,GMB (An. coluzzii),0.010875304773401406,-2.1387598738683056,0.03781970027402235
3121,GMB (An. coluzzii),0.029181482290469,-1.654465269991198,0.0637621393049633
3122,GMB (An. coluzzii),0.006055695915562572,-2.324851639736524,0.028130355575719107
3123,GMB (An. coluzzii),0.0048436638929619065,-2.238625367459125,0.02094148692859089
3124,GMB (An. coluzzii),0.007145229764422235,-2.180334247831972,0.02719267705652847
3125,GMB (An. coluzzii),0.008681654587248675,-2.1506936321592347,0.0312559506396879
3126,GMB (An. coluzzii),0.005205448889364272,-2.1883141503013825,0.02094148692859089
3127,GMB (An. coluzzii),0.010187773204647813,-1.9025254314508147,0.028442915082115983
3128,GMB (An. coluzzii),0.004230692802212054,-2.238053933079667,0.018753570383812736
3129,GMB (An. coluzzii),0.00023626519945853434,-2.290434072963353,0.004688392595953184
3130,GMB (An. coluzzii),0.004401035678918838,-2.2518994642392247,0.019691248903003375
3131,GMB (An. coluzzii),0.009153694867281088,-2.0440303671254614,0.029380593601306623
3132,GMB (An. coluzzii),0.011763440478105128,-1.903580635230831,0.03250618866527541
3133,GMB (An. coluzzii),0.011006284970851102,-2.0331152915612427,0.03438154570365668
3134,GMB (An. coluzzii),0.004343082562834919,-2.4636128071514483,0.026254998537337832
3135,GMB (An. coluzzii),0.004757721437436081,-2.1568359717437473,0.018753570383812736
3136,GMB (An. coluzzii),0.009853408270689144,-1.8991061010729071,0.027505236562925348
3137,GMB (An. coluzzii),0.009904196070204535,-1.9195365847010533,0.028130355575719107
3138,GMB (An. coluzzii),0.0020057503283564316,-2.0630428676363124,0.008751666179112612
3139,GMB (An. coluzzii),0.017266546750519873,-1.4596582475301716,0.03375642669086293
3140,GMB (An. coluzzii),0.003680961875875463,-2.3465719083528893,0.019378689396606495
3141,GMB (An. coluzzii),0.0061397204489160575,-2.072960628249642,0.02125404643498777
3142,GMB (An. coluzzii),0.008983300210530188,-2.1406791415996014,0.03188106965248165
3143,GMB (An. coluzzii),0.007205647249879711,-2.1417673312693233,0.026254998537337832
3144,GMB (An. coluzzii),0.005502470943687366,-2.089683186004495,0.019691248903003375
3145,GMB (An. coluzzii),0.002825312099450424,-2.3043242433257993,0.015002856307050191
3146,GMB (An. coluzzii),0.004714875060381325,-2.343033593251499,0.02344196297976592
3147,GMB (An. coluzzii),0.004102778812455792,-2.410730857649646,0.02312940347336904
3148,GMB (An. coluzzii),0.013277532647529774,-1.7520419624242975,0.03219362915887854
3149,GMB (An. coluzzii),0.00966795310281524,-1.7739406440827366,0.02437964149895656
3150,GMB (An. coluzzii),0.00604422656742298,-1.9022988490573245,0.017815891864622103
3151,GMB (An. coluzzii),0.005987661840044044,-2.1472289676463836,0.022504284460575286
3152,GMB (An. coluzzii),0.010392311398143332,-2.008952736228525,0.03188106965248165
3153,GMB (An. coluzzii),0.011518660064463705,-1.9983396840023289,0.03469410521005357
3154,GMB (An. coluzzii),0.011504852074491353,-2.0635338227968334,0.03688202175483172
3155,GMB (An. coluzzii),0.012534859822877777,-1.931284212962659,0.03531922422284733
3156,GMB (An. coluzzii),0.00432966974967775,-2.310103375717425,0.02094148692859089
3157,GMB (An. coluzzii),0.002481280879621915,-2.4339138837137555,0.016565653839034584
3158,GMB (An. coluzzii),0.010403130994906978,-2.018274073749987,0.03219362915887854
3159,GMB (An. coluzzii),0.012011392765387449,-1.7955046318959222,0.03031827212049726
3160,GMB (An. coluzzii),0.007657991111549916,-2.185708144124885,0.029068034094909746
3161,GMB (An. coluzzii),0.00664010900711655,-2.2722580472450273,0.028442915082115983
3162,GMB (An. coluzzii),0.006905816473752022,-2.0555775130250105,0.02312940347336904
3163,GMB (An. coluzzii),0.013900670109135847,-1.7813697067064114,0.03438154570365668
3164,GMB (An. coluzzii),0.015546196570577795,-1.9538327077609274,0.04407089040195994
3165,GMB (An. coluzzii),0.017483046671156167,-1.9918783013419539,0.05094719954269127
3166,GMB (An. coluzzii),0.005360070537145127,-2.2170683688247217,0.02219172495417841
3167,GMB (An. coluzzii),0.004554264852905654,-2.278870314304072,0.02094148692859089
3168,GMB (An. coluzzii),0.0021707975959803865,-2.4149403105238365,0.014690296800653311
3169,GMB (An. coluzzii),4.7337278106508875e-05,-1.5965881670677797,0.001250238025587516
3170,GMB (An. coluzzii),0.005568541795027941,-2.3167781845571915,0.025942439030940952
3171,GMB (An. coluzzii),0.014575704888509919,-2.07083283762736,0.04625880694673808
3172,GMB (An. coluzzii),0.011625481869277428,-2.2161652672942043,0.04375833089556305
3173,GMB (An. coluzzii),0.013056770501091122,-2.0428551414310885,0.04063273583159427
3174,GMB (An. coluzzii),0.014649577296016564,-1.9677044137570596,0.04219553336357866
3175,GMB (An. coluzzii),0.0049105819039053766,-2.328465512326377,0.0237545224861628
3176,GMB (An. coluzzii),0.011708260302863482,-1.4035276060635282,0.022504284460575286
3177,GMB (An. coluzzii),0.005971637254983949,-2.0365447534767362,0.020003808409400255
